Id,SOURCE,TARGET,LabelSource,LabelTarget
2981,1593,1728,Senator Investment Group,Adaptive Biotechnologies
2982,339,1728,Rock Springs Capital,Adaptive Biotechnologies
2983,1206,1728,ARK Investment Management,Adaptive Biotechnologies
2984,1205,1728,Viking Global Investors,Adaptive Biotechnologies
2985,1692,1442,Evotec,Sanofi
2986,1353,96,Future Shape,Sweep
2987,423,96,Balderton Capital,Sweep
2988,674,96,Coatue,Sweep
2989,1111,96,La Famiglia,Sweep
2990,1737,1953,Intact Financial Corporation,Turo
2991,822,1953,GV,Turo
2992,1672,1953,Daimler,Turo
2993,570,1953,Shasta Ventures,Turo
2994,822,1231,GV,SpinLaunch
2995,2016,1231,Kleiner Perkins,SpinLaunch
2996,1547,1231,Neotribe Ventures,SpinLaunch
2997,1138,1231,Bolt,SpinLaunch
2998,1452,1231,Alphabet,SpinLaunch
2999,822,787,GV,Nothing
3000,1896,787,Animoca Brands,Nothing
3001,294,787,Crowdcube,Nothing
3002,1438,787,EQT Ventures,Nothing
3003,822,1950,GV,Obsidian Security
3004,1252,1950,Greylock,Obsidian Security
3005,1456,1950,Norwest Venture Partners,Obsidian Security
3006,1792,1950,Menlo Ventures,Obsidian Security
3007,2096,1950,Wing Venture Capital,Obsidian Security
3008,822,1577,GV,LifeMine Therapeutics
3009,283,1577,Fidelity Management and Research Company,LifeMine Therapeutics
3010,1374,1577,GlaxoSmithKline,LifeMine Therapeutics
3011,1183,1577,Merck,LifeMine Therapeutics
3012,822,264,GV,Digits
3013,822,30,GV,Brightline
3014,864,30,Gaingels,Brightline
3015,753,30,Threshold,Brightline
3016,1508,30,Oak HC/FT,Brightline
3017,82,30,City Light Capital,Brightline
3018,822,169,GV,DNAnexus
3019,1532,169,Microsoft,DNAnexus
3020,1333,169,Northpond Ventures,DNAnexus
3021,258,169,WuXi AppTec,DNAnexus
3022,1075,169,Regeneron,DNAnexus
3023,1672,877,Daimler,what3words
3024,949,877,VentureSouq,what3words
3025,294,877,Crowdcube,what3words
3026,2078,877,Aramex International,what3words
3027,1672,1656,Daimler,Careem
3028,674,1656,Coatue,Careem
3029,1034,1656,Rakuten,Careem
3030,796,1656,Wamda Capital,Careem
3031,144,1656,Didi,Careem
3032,570,1386,Shasta Ventures,Tonal
3033,1423,1386,L Catterton,Tonal
3034,1138,1386,Bolt,Tonal
3035,1597,1386,Serena Ventures,Tonal
3036,1695,1386,Mayfield Fund,Tonal
3037,570,314,Shasta Ventures,Data.world
3038,648,314,Goldman Sachs Asset Management,Data.world
3039,429,314,Breyer Capital,Data.world
3040,1291,314,OurCrowd,Data.world
3041,1143,1148,Commerce Ventures,Card91
3042,1480,1148,Inflection Point Ventures,Card91
3043,675,1148,Point72 Ventures,Card91
3044,1130,1148,EMVC,Card91
3045,194,319,SoftBank Vision Fund,Zume
3046,336,319,SignalFire,Zume
3047,1772,319,FJ Labs,Zume
3048,722,319,AME Cloud Ventures,Zume
3049,845,319,Maveron,Zume
3050,194,1350,SoftBank Vision Fund,Zeta
3051,1760,1350,Mastercard,Zeta
3052,330,1350,Sodexo,Zeta
3053,194,1971,SoftBank Vision Fund,Yanolja
3054,1140,1971,GIC,Yanolja
3055,1539,1971,Sky Lake Investment,Yanolja
3056,194,377,SoftBank Vision Fund,Pax8
3057,567,377,Avenir Growth Capital,Pax8
3058,777,377,Blue Cloud Ventures,Pax8
3059,976,377,Catalyst Investors,Pax8
3060,194,1703,SoftBank Vision Fund,Gympass
3061,1940,1703,General Atlantic,Gympass
3062,1420,1703,Atomico,Gympass
3063,1736,1703,Kaszek,Gympass
3064,194,1865,SoftBank Vision Fund,Icertis
3065,421,1865,Eight Roads Ventures,Icertis
3066,2001,1865,B Capital Group,Icertis
3067,291,1865,SAP,Icertis
3068,194,881,SoftBank Vision Fund,Neuron23
3069,2016,881,Kleiner Perkins,Neuron23
3070,2010,881,Perceptive Advisors,Neuron23
3071,84,881,Redmile Group,Neuron23
3072,194,1291,SoftBank Vision Fund,OurCrowd
3073,2103,1291,United Overseas Bank,OurCrowd
3074,624,1291,UOB Venture,OurCrowd
3075,194,1015,SoftBank Vision Fund,Clearco
3076,1589,1015,8VC,Clearco
3077,1508,1015,Oak HC/FT,Clearco
3078,194,842,SoftBank Vision Fund,Extend
3079,1453,842,Graph Ventures,Extend
3080,1996,842,American Express Ventures,Extend
3081,714,842,Lightbank,Extend
3082,194,1073,SoftBank Vision Fund,Embark
3083,828,1073,Slow Ventures,Embark
3084,1172,1073,F-Prime Capital,Embark
3085,292,1073,Founder Collective,Embark
3086,1711,1073,Section 32,Embark
3087,194,1364,SoftBank Vision Fund,Apollo Agriculture
3088,317,1364,Anthemis Group,Apollo Agriculture
3089,913,1364,Musha Ventures,Apollo Agriculture
3090,429,1364,Breyer Capital,Apollo Agriculture
3091,2080,1364,Flourish Ventures,Apollo Agriculture
3092,336,991,SignalFire,Twingate
3093,1589,991,8VC,Twingate
3094,585,991,WndrCo,Twingate
3095,132,991,Green Bay Ventures,Twingate
3096,1772,2036,FJ Labs,Yieldstreet
3097,864,2036,Gaingels,Yieldstreet
3098,722,827,AME Cloud Ventures,Birdeye
3099,1694,827,Accel-KKR,Birdeye
3100,35,827,Trinity Ventures,Birdeye
3101,2026,827,World Innovation Lab (WiL),Birdeye
3102,722,81,AME Cloud Ventures,Eat Just
3103,1669,81,Horizons Ventures,Eat Just
3104,2022,81,Vulcan Capital,Eat Just
3105,1661,81,Khosla Ventures,Eat Just
3106,845,1830,Maveron,eBay
3107,864,843,Gaingels,Natural Fiber Welding
3108,14,843,Evolution VC Partners,Natural Fiber Welding
3109,660,843,Advantage Capital,Natural Fiber Welding
3110,864,1563,Gaingels,Octane
3111,251,1563,FundersClub,Octane
3112,1265,1563,Third Prime,Octane
3113,350,1563,FinTech Collective,Octane
3114,864,1137,Gaingels,Cart.com
3115,732,1137,JP Morgan,Cart.com
3116,1508,1137,Oak HC/FT,Cart.com
3117,272,1137,Visa,Cart.com
3118,1015,1137,Clearco,Cart.com
3119,423,1115,Balderton Capital,Talend
3120,1184,1115,Bpifrance,Talend
3121,600,1115,Silver Lake,Talend
3122,1403,1115,Sumeru Equity Partners,Talend
3123,1600,1115,Idinvest Partners,Talend
3124,423,1329,Balderton Capital,Seedcamp
3125,317,1329,Anthemis Group,Seedcamp
3126,1809,1329,LocalGlobe,Seedcamp
3127,945,1329,Venrex,Seedcamp
3128,872,1329,DN Capital,Seedcamp
3129,423,426,Balderton Capital,Avi Medical
3130,287,426,Eurazeo,Avi Medical
3131,564,426,Operator Partners,Avi Medical
3132,1018,426,Addition,Avi Medical
3133,1427,426,Picus Capital,Avi Medical
3134,423,1673,Balderton Capital,Coronet
3135,795,1673,Jerusalem Venture Partners (JVP),Coronet
3136,1065,1673,MizMaa Ventures,Coronet
3137,302,1673,Sound Ventures,Coronet
3138,89,540,Speedinvest,Sona
3139,886,540,Gradient Ventures,Sona
3140,1441,540,Novator,Sona
3141,89,2050,Speedinvest,Khazna
3142,1715,2050,Quona Capital,Khazna
3143,1637,2050,Village Capital,Khazna
3144,553,2050,Lendable,Khazna
3145,89,137,Speedinvest,Bitpanda
3146,443,137,DST Global,Bitpanda
3147,1151,137,Valar Ventures,Bitpanda
3148,728,137,Jump Capital,Bitpanda
3149,1842,137,Wintermute Trading,Bitpanda
3150,214,1529,OMERS Ventures,Wave
3151,1404,1529,HarbourVest Partners,Wave
3152,815,1529,Initialized Capital,Wave
3153,1291,1529,OurCrowd,Wave
3154,284,1529,RBC Capital,Wave
3155,214,1259,OMERS Ventures,League
3156,284,1259,RBC Capital,League
3157,1192,1259,Foundation Capital,League
3158,1147,1259,Manulife Financial,League
3159,562,1259,Real Ventures,League
3160,3,1448,Felicis Ventures,Origin
3161,490,1448,01 Advisors,Origin
3162,1172,1587,F-Prime Capital,OTA Insight
3163,421,1587,Eight Roads Ventures,OTA Insight
3164,945,1587,Venrex,OTA Insight
3165,1974,1587,Spectrum Equity,OTA Insight
3166,1172,267,F-Prime Capital,MoEngage
3167,421,267,Eight Roads Ventures,MoEngage
3168,1203,267,Matrix Partners India,MoEngage
3169,783,267,Steadview Capital,MoEngage
3170,829,267,Alchemist Accelerator,MoEngage
3171,1172,321,F-Prime Capital,Doceree
3172,421,321,Eight Roads Ventures,Doceree
3173,1994,1720,Stellaris Venture Partners,Vogo
3174,1691,1720,Kalaari Capital,Vogo
3175,839,1720,Ola,Vogo
3176,95,1720,Lightrock,Vogo
3177,1203,1720,Matrix Partners India,Vogo
3178,1994,512,Stellaris Venture Partners,mfine
3179,425,512,BEENEXT,mfine
3180,179,512,Alteria Capital,mfine
3181,1832,512,Prime Venture Partners,mfine
3182,731,512,SBI Investment,mfine
3183,559,1105,Brand Foundry Ventures,Trace
3184,632,1105,Intel Capital,Trace
3185,931,1105,Toba Capital,Trace
3186,1022,1105,NextGen Venture Partners,Trace
3187,1327,1105,Amplify.LA,Trace
3188,632,52,Intel Capital,IndiaMART
3189,1715,52,Quona Capital,IndiaMART
3190,1444,52,WestBridge Capital,IndiaMART
3191,163,52,Amadeus Capital Partners,IndiaMART
3192,931,387,Toba Capital,Conversica
3193,499,387,Providence Equity Partners,Conversica
3194,1343,387,CIBC,Conversica
3195,1387,387,Morgan Stanley Expansion Capital,Conversica
3196,905,1375,KittyHawk Ventures,Vytalize Health
3197,2012,1375,North Coast Ventures,Vytalize Health
3198,1571,1349,TA Associates,Sophos
3199,1571,2053,TA Associates,IFS
3200,70,2053,EQT,IFS
3201,717,2053,Hg,IFS
3202,1571,1257,TA Associates,K2
3203,356,1257,Thoma Bravo,K2
3204,432,1257,Azure Capital Partners,K2
3205,610,1257,FTV Capital,K2
3206,1571,1358,TA Associates,Bigpoint
3207,1592,1358,Summit Partners,Bigpoint
3208,207,1358,GMT Capital,Bigpoint
3209,1425,1358,Peacock Equity,Bigpoint
3210,1796,1414,SB Opportunity Fund,Welcome Tech
3211,289,1414,TTV Capital,Welcome Tech
3212,889,1414,Owl Ventures,Welcome Tech
3213,1298,1414,Crosscut Ventures,Welcome Tech
3214,765,1414,Next Play Capital,Welcome Tech
3215,1323,1535,Bossa Nova Investimentos,Umba
3216,631,1535,Streamlined Ventures,Umba
3217,1049,1535,Lux Capital,Umba
3218,1323,719,Bossa Nova Investimentos,Sary
3219,949,719,VentureSouq,Sary
3220,494,719,rocketship.vc,Sary
3221,1393,719,MSA Capital,Sary
